index,from_square,action_type,move,action_desc
0,a1,0,a1a2,북(N) 방향 거리 1
1,a1,1,a1a3,북(N) 방향 거리 2
2,a1,2,a1a4,북(N) 방향 거리 3
3,a1,3,a1a5,북(N) 방향 거리 4
4,a1,4,a1a6,북(N) 방향 거리 5
5,a1,5,a1a7,북(N) 방향 거리 6
6,a1,6,a1a8,북(N) 방향 거리 7
7,a1,7,a1b1,동(E) 방향 거리 1
8,a1,8,a1c1,동(E) 방향 거리 2
9,a1,9,a1d1,동(E) 방향 거리 3
10,a1,10,a1e1,동(E) 방향 거리 4
11,a1,11,a1f1,동(E) 방향 거리 5
12,a1,12,a1g1,동(E) 방향 거리 6
13,a1,13,a1h1,동(E) 방향 거리 7
14,a1,14,,남(S) 방향 거리 1
15,a1,15,,남(S) 방향 거리 2
16,a1,16,,남(S) 방향 거리 3
17,a1,17,,남(S) 방향 거리 4
18,a1,18,,남(S) 방향 거리 5
19,a1,19,,남(S) 방향 거리 6
20,a1,20,,남(S) 방향 거리 7
21,a1,21,,서(W) 방향 거리 1
22,a1,22,,서(W) 방향 거리 2
23,a1,23,,서(W) 방향 거리 3
24,a1,24,,서(W) 방향 거리 4
25,a1,25,,서(W) 방향 거리 5
26,a1,26,,서(W) 방향 거리 6
27,a1,27,,서(W) 방향 거리 7
28,a1,28,a1b2,북동(NE) 방향 거리 1
29,a1,29,a1c3,북동(NE) 방향 거리 2
30,a1,30,a1d4,북동(NE) 방향 거리 3
31,a1,31,a1e5,북동(NE) 방향 거리 4
32,a1,32,a1f6,북동(NE) 방향 거리 5
33,a1,33,a1g7,북동(NE) 방향 거리 6
34,a1,34,a1h8,북동(NE) 방향 거리 7
35,a1,35,,북서(NW) 방향 거리 1
36,a1,36,,북서(NW) 방향 거리 2
37,a1,37,,북서(NW) 방향 거리 3
38,a1,38,,북서(NW) 방향 거리 4
39,a1,39,,북서(NW) 방향 거리 5
40,a1,40,,북서(NW) 방향 거리 6
41,a1,41,,북서(NW) 방향 거리 7
42,a1,42,,남동(SE) 방향 거리 1
43,a1,43,,남동(SE) 방향 거리 2
44,a1,44,,남동(SE) 방향 거리 3
45,a1,45,,남동(SE) 방향 거리 4
46,a1,46,,남동(SE) 방향 거리 5
47,a1,47,,남동(SE) 방향 거리 6
48,a1,48,,남동(SE) 방향 거리 7
49,a1,49,,남서(SW) 방향 거리 1
50,a1,50,,남서(SW) 방향 거리 2
51,a1,51,,남서(SW) 방향 거리 3
52,a1,52,,남서(SW) 방향 거리 4
53,a1,53,,남서(SW) 방향 거리 5
54,a1,54,,남서(SW) 방향 거리 6
55,a1,55,,남서(SW) 방향 거리 7
56,a1,56,a1b3,"나이트 이동 (+1,+2)"
57,a1,57,a1c2,"나이트 이동 (+2,+1)"
58,a1,58,,"나이트 이동 (+2,−1)"
59,a1,59,,"나이트 이동 (+1,−2)"
60,a1,60,,"나이트 이동 (−1,−2)"
61,a1,61,,"나이트 이동 (−2,−1)"
62,a1,62,,"나이트 이동 (−2,+1)"
63,a1,63,,"나이트 이동 (−1,+2)"
64,a1,64,,폰 직진 승격 → 나이트
65,a1,65,,폰 직진 승격 → 비숍
66,a1,66,,폰 직진 승격 → 룩
67,a1,67,,폰 대각선 우 승격 → 나이트
68,a1,68,,폰 대각선 우 승격 → 비숍
69,a1,69,,폰 대각선 우 승격 → 룩
70,a1,70,,폰 대각선 좌 승격 → 나이트
71,a1,71,,폰 대각선 좌 승격 → 비숍
72,a1,72,,폰 대각선 좌 승격 → 룩
73,b1,0,b1b2,북(N) 방향 거리 1
74,b1,1,b1b3,북(N) 방향 거리 2
75,b1,2,b1b4,북(N) 방향 거리 3
76,b1,3,b1b5,북(N) 방향 거리 4
77,b1,4,b1b6,북(N) 방향 거리 5
78,b1,5,b1b7,북(N) 방향 거리 6
79,b1,6,b1b8,북(N) 방향 거리 7
80,b1,7,b1c1,동(E) 방향 거리 1
81,b1,8,b1d1,동(E) 방향 거리 2
82,b1,9,b1e1,동(E) 방향 거리 3
83,b1,10,b1f1,동(E) 방향 거리 4
84,b1,11,b1g1,동(E) 방향 거리 5
85,b1,12,b1h1,동(E) 방향 거리 6
86,b1,13,,동(E) 방향 거리 7
87,b1,14,,남(S) 방향 거리 1
88,b1,15,,남(S) 방향 거리 2
89,b1,16,,남(S) 방향 거리 3
90,b1,17,,남(S) 방향 거리 4
91,b1,18,,남(S) 방향 거리 5
92,b1,19,,남(S) 방향 거리 6
93,b1,20,,남(S) 방향 거리 7
94,b1,21,b1a1,서(W) 방향 거리 1
95,b1,22,,서(W) 방향 거리 2
96,b1,23,,서(W) 방향 거리 3
97,b1,24,,서(W) 방향 거리 4
98,b1,25,,서(W) 방향 거리 5
99,b1,26,,서(W) 방향 거리 6
100,b1,27,,서(W) 방향 거리 7
101,b1,28,b1c2,북동(NE) 방향 거리 1
102,b1,29,b1d3,북동(NE) 방향 거리 2
103,b1,30,b1e4,북동(NE) 방향 거리 3
104,b1,31,b1f5,북동(NE) 방향 거리 4
105,b1,32,b1g6,북동(NE) 방향 거리 5
106,b1,33,b1h7,북동(NE) 방향 거리 6
107,b1,34,,북동(NE) 방향 거리 7
108,b1,35,b1a2,북서(NW) 방향 거리 1
109,b1,36,,북서(NW) 방향 거리 2
110,b1,37,,북서(NW) 방향 거리 3
111,b1,38,,북서(NW) 방향 거리 4
112,b1,39,,북서(NW) 방향 거리 5
113,b1,40,,북서(NW) 방향 거리 6
114,b1,41,,북서(NW) 방향 거리 7
115,b1,42,,남동(SE) 방향 거리 1
116,b1,43,,남동(SE) 방향 거리 2
117,b1,44,,남동(SE) 방향 거리 3
118,b1,45,,남동(SE) 방향 거리 4
119,b1,46,,남동(SE) 방향 거리 5
120,b1,47,,남동(SE) 방향 거리 6
121,b1,48,,남동(SE) 방향 거리 7
122,b1,49,,남서(SW) 방향 거리 1
123,b1,50,,남서(SW) 방향 거리 2
124,b1,51,,남서(SW) 방향 거리 3
125,b1,52,,남서(SW) 방향 거리 4
126,b1,53,,남서(SW) 방향 거리 5
127,b1,54,,남서(SW) 방향 거리 6
128,b1,55,,남서(SW) 방향 거리 7
129,b1,56,b1c3,"나이트 이동 (+1,+2)"
130,b1,57,b1d2,"나이트 이동 (+2,+1)"
131,b1,58,,"나이트 이동 (+2,−1)"
132,b1,59,,"나이트 이동 (+1,−2)"
133,b1,60,,"나이트 이동 (−1,−2)"
134,b1,61,,"나이트 이동 (−2,−1)"
135,b1,62,,"나이트 이동 (−2,+1)"
136,b1,63,b1a3,"나이트 이동 (−1,+2)"
137,b1,64,,폰 직진 승격 → 나이트
138,b1,65,,폰 직진 승격 → 비숍
139,b1,66,,폰 직진 승격 → 룩
140,b1,67,,폰 대각선 우 승격 → 나이트
141,b1,68,,폰 대각선 우 승격 → 비숍
142,b1,69,,폰 대각선 우 승격 → 룩
143,b1,70,,폰 대각선 좌 승격 → 나이트
144,b1,71,,폰 대각선 좌 승격 → 비숍
145,b1,72,,폰 대각선 좌 승격 → 룩
146,c1,0,c1c2,북(N) 방향 거리 1
147,c1,1,c1c3,북(N) 방향 거리 2
148,c1,2,c1c4,북(N) 방향 거리 3
149,c1,3,c1c5,북(N) 방향 거리 4
150,c1,4,c1c6,북(N) 방향 거리 5
151,c1,5,c1c7,북(N) 방향 거리 6
152,c1,6,c1c8,북(N) 방향 거리 7
153,c1,7,c1d1,동(E) 방향 거리 1
154,c1,8,c1e1,동(E) 방향 거리 2
155,c1,9,c1f1,동(E) 방향 거리 3
156,c1,10,c1g1,동(E) 방향 거리 4
157,c1,11,c1h1,동(E) 방향 거리 5
158,c1,12,,동(E) 방향 거리 6
159,c1,13,,동(E) 방향 거리 7
160,c1,14,,남(S) 방향 거리 1
161,c1,15,,남(S) 방향 거리 2
162,c1,16,,남(S) 방향 거리 3
163,c1,17,,남(S) 방향 거리 4
164,c1,18,,남(S) 방향 거리 5
165,c1,19,,남(S) 방향 거리 6
166,c1,20,,남(S) 방향 거리 7
167,c1,21,c1b1,서(W) 방향 거리 1
168,c1,22,c1a1,서(W) 방향 거리 2
169,c1,23,,서(W) 방향 거리 3
170,c1,24,,서(W) 방향 거리 4
171,c1,25,,서(W) 방향 거리 5
172,c1,26,,서(W) 방향 거리 6
173,c1,27,,서(W) 방향 거리 7
174,c1,28,c1d2,북동(NE) 방향 거리 1
175,c1,29,c1e3,북동(NE) 방향 거리 2
176,c1,30,c1f4,북동(NE) 방향 거리 3
177,c1,31,c1g5,북동(NE) 방향 거리 4
178,c1,32,c1h6,북동(NE) 방향 거리 5
179,c1,33,,북동(NE) 방향 거리 6
180,c1,34,,북동(NE) 방향 거리 7
181,c1,35,c1b2,북서(NW) 방향 거리 1
182,c1,36,c1a3,북서(NW) 방향 거리 2
183,c1,37,,북서(NW) 방향 거리 3
184,c1,38,,북서(NW) 방향 거리 4
185,c1,39,,북서(NW) 방향 거리 5
186,c1,40,,북서(NW) 방향 거리 6
187,c1,41,,북서(NW) 방향 거리 7
188,c1,42,,남동(SE) 방향 거리 1
189,c1,43,,남동(SE) 방향 거리 2
190,c1,44,,남동(SE) 방향 거리 3
191,c1,45,,남동(SE) 방향 거리 4
192,c1,46,,남동(SE) 방향 거리 5
193,c1,47,,남동(SE) 방향 거리 6
194,c1,48,,남동(SE) 방향 거리 7
195,c1,49,,남서(SW) 방향 거리 1
196,c1,50,,남서(SW) 방향 거리 2
197,c1,51,,남서(SW) 방향 거리 3
198,c1,52,,남서(SW) 방향 거리 4
199,c1,53,,남서(SW) 방향 거리 5
200,c1,54,,남서(SW) 방향 거리 6
201,c1,55,,남서(SW) 방향 거리 7
202,c1,56,c1d3,"나이트 이동 (+1,+2)"
203,c1,57,c1e2,"나이트 이동 (+2,+1)"
204,c1,58,,"나이트 이동 (+2,−1)"
205,c1,59,,"나이트 이동 (+1,−2)"
206,c1,60,,"나이트 이동 (−1,−2)"
207,c1,61,,"나이트 이동 (−2,−1)"
208,c1,62,c1a2,"나이트 이동 (−2,+1)"
209,c1,63,c1b3,"나이트 이동 (−1,+2)"
210,c1,64,,폰 직진 승격 → 나이트
211,c1,65,,폰 직진 승격 → 비숍
212,c1,66,,폰 직진 승격 → 룩
213,c1,67,,폰 대각선 우 승격 → 나이트
214,c1,68,,폰 대각선 우 승격 → 비숍
215,c1,69,,폰 대각선 우 승격 → 룩
216,c1,70,,폰 대각선 좌 승격 → 나이트
217,c1,71,,폰 대각선 좌 승격 → 비숍
218,c1,72,,폰 대각선 좌 승격 → 룩
219,d1,0,d1d2,북(N) 방향 거리 1
220,d1,1,d1d3,북(N) 방향 거리 2
