index,move,action_desc
0,a1,a1에 놓기
1,b1,b1에 놓기
2,c1,c1에 놓기
3,d1,d1에 놓기
4,e1,e1에 놓기
5,f1,f1에 놓기
6,g1,g1에 놓기
7,h1,h1에 놓기
8,i1,i1에 놓기
9,j1,j1에 놓기
10,k1,k1에 놓기
11,l1,l1에 놓기
12,m1,m1에 놓기
13,n1,n1에 놓기
14,o1,o1에 놓기
15,a2,a2에 놓기
16,b2,b2에 놓기
17,c2,c2에 놓기
18,d2,d2에 놓기
19,e2,e2에 놓기
20,f2,f2에 놓기
21,g2,g2에 놓기
22,h2,h2에 놓기
23,i2,i2에 놓기
24,j2,j2에 놓기
25,k2,k2에 놓기
26,l2,l2에 놓기
27,m2,m2에 놓기
28,n2,n2에 놓기
29,o2,o2에 놓기
30,a3,a3에 놓기
31,b3,b3에 놓기
32,c3,c3에 놓기
33,d3,d3에 놓기
34,e3,e3에 놓기
35,f3,f3에 놓기
36,g3,g3에 놓기
37,h3,h3에 놓기
38,i3,i3에 놓기
39,j3,j3에 놓기
40,k3,k3에 놓기
41,l3,l3에 놓기
42,m3,m3에 놓기
43,n3,n3에 놓기
44,o3,o3에 놓기
45,a4,a4에 놓기
46,b4,b4에 놓기
47,c4,c4에 놓기
48,d4,d4에 놓기
49,e4,e4에 놓기
50,f4,f4에 놓기
51,g4,g4에 놓기
52,h4,h4에 놓기
53,i4,i4에 놓기
54,j4,j4에 놓기
55,k4,k4에 놓기
56,l4,l4에 놓기
57,m4,m4에 놓기
58,n4,n4에 놓기
59,o4,o4에 놓기
60,a5,a5에 놓기
61,b5,b5에 놓기
62,c5,c5에 놓기
63,d5,d5에 놓기
64,e5,e5에 놓기
65,f5,f5에 놓기
66,g5,g5에 놓기
67,h5,h5에 놓기
68,i5,i5에 놓기
69,j5,j5에 놓기
70,k5,k5에 놓기
71,l5,l5에 놓기
72,m5,m5에 놓기
73,n5,n5에 놓기
74,o5,o5에 놓기
75,a6,a6에 놓기
76,b6,b6에 놓기
77,c6,c6에 놓기
78,d6,d6에 놓기
79,e6,e6에 놓기
80,f6,f6에 놓기
81,g6,g6에 놓기
82,h6,h6에 놓기
83,i6,i6에 놓기
84,j6,j6에 놓기
85,k6,k6에 놓기
86,l6,l6에 놓기
87,m6,m6에 놓기
88,n6,n6에 놓기
89,o6,o6에 놓기
90,a7,a7에 놓기
91,b7,b7에 놓기
92,c7,c7에 놓기
93,d7,d7에 놓기
94,e7,e7에 놓기
95,f7,f7에 놓기
96,g7,g7에 놓기
97,h7,h7에 놓기
98,i7,i7에 놓기
99,j7,j7에 놓기
100,k7,k7에 놓기
101,l7,l7에 놓기
102,m7,m7에 놓기
103,n7,n7에 놓기
104,o7,o7에 놓기
105,a8,a8에 놓기
106,b8,b8에 놓기
107,c8,c8에 놓기
108,d8,d8에 놓기
109,e8,e8에 놓기
110,f8,f8에 놓기
111,g8,g8에 놓기
112,h8,h8에 놓기
113,i8,i8에 놓기
114,j8,j8에 놓기
115,k8,k8에 놓기
116,l8,l8에 놓기
117,m8,m8에 놓기
118,n8,n8에 놓기
119,o8,o8에 놓기
120,a9,a9에 놓기
121,b9,b9에 놓기
122,c9,c9에 놓기
123,d9,d9에 놓기
124,e9,e9에 놓기
125,f9,f9에 놓기
126,g9,g9에 놓기
127,h9,h9에 놓기
128,i9,i9에 놓기
129,j9,j9에 놓기
130,k9,k9에 놓기
131,l9,l9에 놓기
132,m9,m9에 놓기
133,n9,n9에 놓기
134,o9,o9에 놓기
135,a10,a10에 놓기
136,b10,b10에 놓기
137,c10,c10에 놓기
138,d10,d10에 놓기
139,e10,e10에 놓기
140,f10,f10에 놓기
141,g10,g10에 놓기
142,h10,h10에 놓기
143,i10,i10에 놓기
144,j10,j10에 놓기
145,k10,k10에 놓기
146,l10,l10에 놓기
147,m10,m10에 놓기
148,n10,n10에 놓기
149,o10,o10에 놓기
150,a11,a11에 놓기
151,b11,b11에 놓기
152,c11,c11에 놓기
153,d11,d11에 놓기
154,e11,e11에 놓기
155,f11,f11에 놓기
156,g11,g11에 놓기
157,h11,h11에 놓기
158,i11,i11에 놓기
159,j11,j11에 놓기
160,k11,k11에 놓기
161,l11,l11에 놓기
162,m11,m11에 놓기
163,n11,n11에 놓기
164,o11,o11에 놓기
165,a12,a12에 놓기
166,b12,b12에 놓기
167,c12,c12에 놓기
168,d12,d12에 놓기
169,e12,e12에 놓기
170,f12,f12에 놓기
171,g12,g12에 놓기
172,h12,h12에 놓기
173,i12,i12에 놓기
174,j12,j12에 놓기
175,k12,k12에 놓기
176,l12,l12에 놓기
177,m12,m12에 놓기
178,n12,n12에 놓기
179,o12,o12에 놓기
180,a13,a13에 놓기
181,b13,b13에 놓기
182,c13,c13에 놓기
183,d13,d13에 놓기
184,e13,e13에 놓기
185,f13,f13에 놓기
186,g13,g13에 놓기
187,h13,h13에 놓기
188,i13,i13에 놓기
189,j13,j13에 놓기
190,k13,k13에 놓기
191,l13,l13에 놓기
192,m13,m13에 놓기
193,n13,n13에 놓기
194,o13,o13에 놓기
195,a14,a14에 놓기
196,b14,b14에 놓기
197,c14,c14에 놓기
198,d14,d14에 놓기
199,e14,e14에 놓기
200,f14,f14에 놓기
201,g14,g14에 놓기
202,h14,h14에 놓기
203,i14,i14에 놓기
204,j14,j14에 놓기
205,k14,k14에 놓기
206,l14,l14에 놓기
207,m14,m14에 놓기
208,n14,n14에 놓기
209,o14,o14에 놓기
210,a15,a15에 놓기
211,b15,b15에 놓기
212,c15,c15에 놓기
213,d15,d15에 놓기
214,e15,e15에 놓기
215,f15,f15에 놓기
216,g15,g15에 놓기
217,h15,h15에 놓기
218,i15,i15에 놓기
219,j15,j15에 놓기
220,k15,k15에 놓기
221,l15,l15에 놓기
222,m15,m15에 놓기
223,n15,n15에 놓기
224,o15,o15에 놓기
