index,move,action_desc
0,a1,a1에 놓기
1,b1,b1에 놓기
2,c1,c1에 놓기
3,d1,d1에 놓기
4,e1,e1에 놓기
5,f1,f1에 놓기
6,g1,g1에 놓기
7,h1,h1에 놓기
8,a2,a2에 놓기
9,b2,b2에 놓기
10,c2,c2에 놓기
11,d2,d2에 놓기
12,e2,e2에 놓기
13,f2,f2에 놓기
14,g2,g2에 놓기
15,h2,h2에 놓기
16,a3,a3에 놓기
17,b3,b3에 놓기
18,c3,c3에 놓기
19,d3,d3에 놓기
20,e3,e3에 놓기
21,f3,f3에 놓기
22,g3,g3에 놓기
23,h3,h3에 놓기
24,a4,a4에 놓기
25,b4,b4에 놓기
26,c4,c4에 놓기
27,d4,d4에 놓기
28,e4,e4에 놓기
29,f4,f4에 놓기
30,g4,g4에 놓기
31,h4,h4에 놓기
32,a5,a5에 놓기
33,b5,b5에 놓기
34,c5,c5에 놓기
35,d5,d5에 놓기
36,e5,e5에 놓기
37,f5,f5에 놓기
38,g5,g5에 놓기
39,h5,h5에 놓기
40,a6,a6에 놓기
41,b6,b6에 놓기
42,c6,c6에 놓기
43,d6,d6에 놓기
44,e6,e6에 놓기
45,f6,f6에 놓기
46,g6,g6에 놓기
47,h6,h6에 놓기
48,a7,a7에 놓기
49,b7,b7에 놓기
50,c7,c7에 놓기
51,d7,d7에 놓기
52,e7,e7에 놓기
53,f7,f7에 놓기
54,g7,g7에 놓기
55,h7,h7에 놓기
56,a8,a8에 놓기
57,b8,b8에 놓기
58,c8,c8에 놓기
59,d8,d8에 놓기
60,e8,e8에 놓기
61,f8,f8에 놓기
62,g8,g8에 놓기
63,h8,h8에 놓기
64,pass,패스
